customer_id,signup_date,region,acquisition_channel,preferred_device,sessions_last_30d,orders_last_90d,avg_order_value_usd,discount_rate,support_tickets_last_90d,return_rate,nps_score,tenure_months,gross_revenue_12m_usd,last_purchase_date,churned
100149,2025-07-31,North,Organic,Mobile,7,2,57.45,0.269,0,0.043,36.0,5,134.91,2025-11-26,0
100150,2025-07-27,Central,Referral,Mobile,9,6,38.61,0.051,1,0.186,4.0,5,294.76,2025-12-30,0
100151,2025-10-04,Central,Referral,Mobile,9,4,66.36,0.212,0,0.201,10.0,2,395.97,2025-10-18,0
100152,2024-09-29,North,Organic,Desktop,12,2,40.93,0.089,0,0.017,1.0,15,101.8,2025-09-29,0
100153,2024-08-23,East,Paid Search,Tablet,10,5,46.43,0.048,0,0.074,10.0,16,308.52,2025-11-07,0
100154,2025-11-07,North,Referral,Mobile,9,4,56.31,0.159,0,0.108,37.0,1,373.47,2025-12-27,0
100155,2025-02-21,West,Organic,Desktop,6,0,66.41,0.215,0,0.196,27.0,10,0.0,,0
100156,2024-08-05,South,Paid Search,Mobile,12,3,53.69,0.054,0,0.126,28.0,17,223.51,2025-09-14,0
100157,2024-07-22,West,Paid Search,Mobile,6,3,39.17,0.207,1,0.054,23.0,17,95.57,2025-10-20,0
100158,2025-10-03,West,Social,Mobile,16,1,39.75,0.07,0,0.219,79.0,2,122.81,2025-12-21,0
100159,2024-02-08,West,Organic,Mobile,10,3,20.5,0.173,0,0.18,7.0,23,48.52,2025-11-12,0
100160,2024-02-15,North,Social,Mobile,8,4,36.64,0.216,1,0.027,-1.0,22,147.97,2025-10-24,0
100161,2025-06-23,Central,Paid Search,Desktop,12,1,60.29,0.133,0,0.262,14.0,6,62.32,2025-09-08,0
100162,2024-01-01,South,Social,Desktop,6,4,52.12,0.198,0,0.153,33.0,24,410.77,2025-11-02,0
100163,2024-05-05,North,Organic,Mobile,15,5,38.95,0.031,0,0.191,48.0,20,207.2,2025-12-30,0
100164,2025-12-25,East,Paid Search,Mobile,14,4,62.99,0.033,0,0.126,50.0,1,347.62,2025-10-08,0
100165,2024-11-07,South,Paid Search,Mobile,9,5,33.39,0.046,1,0.143,54.0,13,178.4,2025-10-10,0
100166,2025-06-15,Central,Organic,Mobile,10,3,30.47,0.101,0,0.143,,6,85.01,2025-12-03,0
100167,2024-12-22,Central,Organic,Mobile,9,5,32.66,0.294,0,0.168,25.0,12,211.23,2025-11-12,1
100168,2024-03-07,South,Organic,Desktop,10,0,30.53,0.134,1,0.202,71.0,22,0.0,,0
100169,2024-05-14,Central,Paid Search,,8,3,48.06,0.085,0,0.09,-35.0,19,184.16,2025-12-17,1
100170,2025-07-10,South,Organic,Mobile,10,2,39.14,0.05,1,0.136,32.0,5,112.42,2025-11-24,0
100171,2024-03-10,East,Email,Mobile,7,1,45.53,0.415,0,0.065,46.0,22,78.35,2025-12-20,1
100172,2025-03-10,South,Paid Search,Desktop,7,3,38.34,0.114,0,0.046,82.0,9,100.67,2025-11-28,0
100173,2024-09-11,Central,Referral,Desktop,7,2,44.97,0.042,0,0.17,-7.0,15,106.61,2025-10-15,0
100174,2024-09-27,North,Email,Mobile,5,4,21.9,0.112,0,0.118,24.0,15,102.29,2025-11-16,0
100175,2025-11-27,North,Organic,Mobile,10,1,44.33,0.207,2,0.193,-6.0,1,51.4,2025-12-14,0
100176,2025-03-18,East,Social,Desktop,7,3,43.88,0.189,0,0.221,,9,292.06,2025-10-18,1
100177,2025-03-25,Central,Referral,Desktop,10,0,33.59,0.25,1,0.045,25.0,9,0.0,,0
100178,2024-09-13,Central,Social,Mobile,9,4,35.08,0.113,0,0.032,56.0,15,89.71,2025-10-22,0
100179,2024-10-05,West,Paid Search,Desktop,5,3,45.54,0.147,1,0.065,61.0,15,154.15,2025-11-24,0
100180,2025-05-16,Central,Paid Search,Mobile,8,3,62.86,0.183,0,0.047,22.0,7,214.19,2025-09-26,0
100181,2024-01-29,Central,Organic,Desktop,5,2,32.04,0.096,0,0.257,52.0,23,72.88,2025-11-20,0
100182,2024-06-22,East,Paid Search,Mobile,11,4,42.95,0.217,0,0.098,30.0,18,165.81,2025-12-30,1
100183,2025-03-14,South,Email,Mobile,10,4,26.87,0.073,0,0.409,49.0,9,94.09,2025-10-13,0
100184,2025-03-31,West,Email,Mobile,14,4,35.46,0.18,1,0.145,59.0,9,284.97,2025-10-06,0
100185,2024-03-08,West,Organic,Mobile,10,1,44.35,0.369,0,0.147,30.0,22,52.27,2025-12-05,0
100186,2025-07-29,South,Social,Mobile,9,3,33.0,0.229,0,0.171,62.0,5,108.52,2025-11-16,0
100187,2025-01-31,North,Paid Search,Mobile,9,1,41.03,0.168,0,0.019,5.0,11,82.17,2025-12-31,0
100188,2024-06-22,West,Email,Mobile,8,1,45.5,0.101,0,0.011,51.0,18,44.16,2025-11-05,0
100189,2025-07-03,South,Organic,Mobile,11,0,31.44,0.102,1,0.066,56.0,6,0.0,,0
100190,2025-12-25,Central,Email,Desktop,3,4,55.78,0.049,0,0.099,58.0,1,200.58,2025-12-01,0
100191,2024-11-05,South,Referral,Desktop,10,4,40.68,0.164,0,0.113,5.0,14,231.29,2025-10-29,0
100192,2024-07-26,North,Organic,Desktop,3,2,44.96,0.133,2,0.039,23.0,17,80.69,2025-10-11,0
100193,2024-08-06,Central,Organic,Mobile,8,3,41.2,0.257,0,0.141,43.0,17,158.17,2025-11-08,0
100194,2025-03-09,North,Referral,Mobile,7,3,45.07,0.033,0,0.074,46.0,9,272.2,2025-09-27,0
100195,2024-02-04,North,Organic,Desktop,6,4,55.33,0.111,0,0.018,38.0,23,272.23,2025-11-07,0
100196,2024-12-19,East,Paid Search,Mobile,11,3,42.77,0.179,0,0.074,71.0,12,86.92,2025-11-12,0
100197,2024-01-19,Central,Email,Mobile,8,4,42.89,0.15,0,0.05,3.0,23,204.99,2025-10-13,0
100198,2024-01-29,North,Social,Desktop,2,1,40.91,0.162,1,0.101,24.0,23,54.4,2025-12-11,0
100199,2024-11-10,South,Paid Search,Tablet,6,1,29.02,0.083,0,0.058,-7.0,13,44.11,2025-09-21,0
100200,2025-06-28,West,Paid Search,Mobile,9,3,28.34,0.09,2,0.226,43.0,6,148.79,2025-10-20,0
100201,2025-10-07,Central,Organic,Desktop,6,2,27.01,0.249,0,0.132,,2,90.22,2025-11-18,0
100202,2024-03-05,East,Email,Mobile,11,1,62.87,0.181,2,0.062,100.0,22,71.24,2025-12-03,0
100203,2024-06-27,North,Paid Search,Desktop,3,1,25.61,0.219,0,0.021,61.0,18,25.07,2025-09-28,0
100204,2024-11-04,North,Organic,Mobile,15,6,55.74,0.277,0,0.089,43.0,14,285.43,2025-12-30,0
100205,2025-02-23,South,Organic,Mobile,7,1,28.69,0.109,1,0.066,37.0,10,30.13,2025-12-24,0
100206,2025-12-22,North,Email,Mobile,9,1,56.18,0.171,0,0.114,27.0,1,74.38,2025-10-20,0
100207,2025-05-15,West,Organic,Mobile,9,3,22.15,0.078,1,0.03,34.0,7,57.67,2025-11-04,0
100208,2025-01-28,North,Referral,Desktop,5,1,45.85,0.24,0,0.159,42.0,11,41.64,2025-12-11,0
100209,2024-02-14,East,Social,Mobile,9,2,55.38,0.011,0,0.21,-14.0,22,158.73,2025-11-16,1
100210,2024-02-29,West,Referral,Desktop,7,3,61.5,0.061,0,0.048,40.0,22,192.04,2025-09-29,1
100211,2024-04-21,East,Email,Desktop,11,0,40.44,0.179,0,0.029,38.0,20,0.0,,0
100212,2025-04-28,North,Referral,Mobile,4,1,24.55,0.253,0,0.034,79.0,8,22.81,2025-10-29,0
100213,2024-08-30,Central,Email,Desktop,13,2,30.07,0.163,0,0.15,32.0,16,76.17,2025-12-21,0
100214,2024-06-25,West,Organic,Mobile,7,3,60.55,0.161,1,0.021,11.0,18,176.64,2025-10-06,0
100215,2025-05-04,West,Referral,Mobile,3,2,39.46,0.146,1,0.08,37.0,8,58.18,2025-12-15,0
100216,2025-08-19,North,Social,Mobile,4,4,37.93,0.205,3,0.025,28.0,4,223.61,2025-12-03,1
100217,2024-11-16,North,Social,Desktop,8,2,48.52,0.118,0,0.012,32.0,13,97.7,2025-11-26,0
100218,2025-10-06,Central,Email,Desktop,16,0,30.24,0.187,0,0.002,3.0,2,0.0,,0
100219,2025-06-20,South,Email,Desktop,10,2,47.32,0.214,0,0.147,31.0,6,92.07,2025-11-29,0
100220,2025-06-07,South,Social,Desktop,11,8,36.05,0.214,0,0.054,21.0,6,382.1,2025-09-25,0
100221,2025-09-26,East,Paid Search,Tablet,12,0,44.73,0.216,0,0.032,30.0,3,0.0,,0
100222,2024-05-14,West,Paid Search,Mobile,17,9,35.95,0.118,0,0.134,53.0,19,444.12,2025-12-27,0
100223,2025-07-08,Central,Paid Search,Desktop,10,0,28.59,0.145,0,0.103,18.0,5,0.0,,0
100224,2025-12-01,South,Paid Search,Mobile,10,4,32.99,0.105,1,0.165,25.0,1,156.94,2025-12-17,0
100225,2025-12-26,Central,Paid Search,Mobile,11,3,45.9,0.124,0,0.069,49.0,1,182.73,2025-12-05,0
100226,2025-02-26,North,Organic,Mobile,9,3,44.55,0.031,0,0.132,28.0,10,243.22,2025-10-22,0
100227,2025-07-05,East,Organic,Mobile,3,1,38.33,0.141,0,0.199,100.0,5,49.17,2025-10-18,0
100228,2025-10-11,West,Referral,Mobile,7,1,55.94,0.192,1,0.164,,2,50.75,2025-10-13,0
100229,2025-09-14,North,Paid Search,Mobile,11,2,38.82,0.18,1,0.145,-1.0,3,97.23,2025-11-16,1
100230,2025-10-18,North,Email,Mobile,4,0,40.94,0.228,0,0.04,14.0,2,0.0,,1
100231,2025-08-31,East,Social,Mobile,13,2,32.23,0.176,0,0.117,12.0,4,45.87,2025-12-24,0
100232,2024-10-05,Central,Organic,Desktop,9,1,56.36,0.203,0,0.091,14.0,15,41.26,2025-11-16,0
100233,2025-06-17,East,Organic,Desktop,16,1,47.74,0.067,2,0.051,41.0,6,57.33,2025-12-02,0
100234,2024-10-27,Central,Organic,Mobile,8,3,31.86,0.291,1,0.048,3.0,14,107.78,2025-12-27,0
100235,2025-08-09,Central,Email,Mobile,11,0,24.79,0.023,0,0.114,27.0,4,0.0,,0
100236,2025-08-15,East,Organic,Mobile,6,2,51.78,0.273,0,0.061,64.0,4,146.03,2025-12-25,0
100237,2025-11-14,West,Paid Search,Mobile,9,4,34.32,0.017,0,0.172,22.0,1,135.04,2025-10-20,1
